Page_URL,name,address,rating,review_count,website,phone,price
"https://www.google.com/maps/place/Im+Herzen+Afrikas+Frankfurt/@50.1074351,8.6716578,17z/data=!3m1!4b1!4m6!3m5!1s0x47bd0eaa0c6b76f9:0x3e8ecee194fc396b!8m2!3d50.1074351!4d8.6716578!16s%2Fg%2F1td9cwqj?authuser=0&hl=de&entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoASAFQAw%3D%3D",Im Herzen Afrikas Frankfurt,"Gutleutstraße 13, 60329 Frankfurt am Main",4.7 ,3582,/url?q=https://www.imherzenafrikas-frankfurt.de/&opi=79508299&sa=U&ved=0ahUKEwj3guaW48eSAxWUQ_EDHc7mICgQ61gIFygO&usg=AOvVaw3R6Lha8Jv-2nsxx2ojOCCm,069 24246080,20–30 
"https://www.google.com/maps/place/Restaurant+Kish/@50.1210825,8.6492541,17z/data=!3m1!4b1!4m6!3m5!1s0x47bd09430d4cc71d:0xde9d80b52296e1d0!8m2!3d50.1210825!4d8.6492541!16s%2Fg%2F1vlqp9wf?authuser=0&hl=de&entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoASAFQAw%3D%3D",Restaurant Kish,"Leipziger Str. 16A, 60487 Frankfurt am Main",4.8 ,10542,/url?q=https://www.kish-restaurant.de/&opi=79508299&sa=U&ved=0ahUKEwj1p-aZ48eSAxViVUEAHV5HLGQQ61gIFygO&usg=AOvVaw2GBWXrhl76wTKu42FQ896_,069 77039888,20–30 
"https://www.google.com/maps/place/Medici/@50.1119131,8.6787454,17z/data=!3m1!4b1!4m6!3m5!1s0x47bd0eaf2dba4dbf:0xe1c9a6538cb6fb3!8m2!3d50.1119131!4d8.6787454!16s%2Fg%2F1v3dr7f7?authuser=0&hl=de&entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoASAFQAw%3D%3D",Medici,"Weißadlergasse 2, 60311 Frankfurt am Main",4.6 ,1663,/url?q=http://www.restaurantmedici.de/&opi=79508299&sa=U&ved=0ahUKEwiKyaSc48eSAxXTUkEAHXXjBZcQ61gIEygO&usg=AOvVaw2so2cNpCACaHyt0nn4OHXU,069 21990794,
"https://www.google.com/maps/place/Trattoria+i+Siciliani+Ristorante+Italiano/@50.1046864,8.6842197,17z/data=!3m1!4b1!4m6!3m5!1s0x47bd0c1dc198e3b3:0x8ca4ede85d583043!8m2!3d50.1046864!4d8.6842197!16s%2Fg%2F1tlmmfnz?authuser=0&hl=de&entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoASAFQAw%3D%3D",Trattoria i Siciliani Ristorante Italiano,"Walter-Kolb-Straße 17, 60594 Frankfurt am Main",4.9 ,2637,/url?q=http://www.trattoriaisiciliani.de/&opi=79508299&sa=U&ved=0ahUKEwi50dye48eSAxV5VkEAHWntFOkQ61gIEygO&usg=AOvVaw0IC_6RVAUg3D14y2SVmunq,069 61993321,
"https://www.google.com/maps/place/Panamaa+Restaurant+%26+Bar+-+Frankfurt+am+Main/@50.1099242,8.6873916,17z/data=!3m1!4b1!4m6!3m5!1s0x47bd0fb6865bd255:0x71b84983d3f54a7c!8m2!3d50.1099242!4d8.6873916!16s%2Fg%2F11t6yhz7w0?authuser=0&hl=de&entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoASAFQAw%3D%3D",Panamaa Restaurant & Bar - Frankfurt am Main,"Fahrgasse 3, 60311 Frankfurt am Main",4.9 ,365,/url?q=https://panamaa.de/&opi=79508299&sa=U&ved=0ahUKEwj54oih48eSAxX6T0EAHZJ_MNYQ61gIFygO&usg=AOvVaw1Knx4tamcdFw4edIjiGU7O,069 92039510,20–30 
"https://www.google.com/maps/place/Frankfurter+Wirtshaus/@50.1093364,8.681724,17z/data=!3m1!4b1!4m6!3m5!1s0x47bd0ff4642cc529:0x7684ce8004571f2!8m2!3d50.1093364!4d8.681724!16s%2Fg%2F11gj0xlyy_?authuser=0&hl=de&entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoASAFQAw%3D%3D",Frankfurter Wirtshaus,"Mainkai 35, 60311 Frankfurt am Main",4.3 ,1315,/url?q=http://frankfurterwirtshaus.de/&opi=79508299&sa=U&ved=0ahUKEwj_5bqj48eSAxXkdUEAHfzWAzgQ61gIFygO&usg=AOvVaw2DPSSItFBYMwLzMyG7SdZQ,069 29728660,20–30 
"https://www.google.com/maps/place/Le+Petit+Chef+-+Frankfurt/@50.1102913,8.6760504,17z/data=!3m1!4b1!4m6!3m5!1s0x47bd0f97da9baf91:0x9ecc18f326a30bc!8m2!3d50.1102913!4d8.6760504!16s%2Fg%2F11hp86rbq9?authuser=0&hl=de&entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoASAFQAw%3D%3D",Le Petit Chef - Frankfurt,"Steigenberger Frankfurter Hof, Bethmannstraße 33, 60311 Frankfurt am Main",4.7 ,665,/url?q=https://lepetitchef.com/frankfurt/%3Futm_source%3Dgoogle%26utm_medium%3Dlocal%26utm_campaign%3Dgmb&opi=79508299&sa=U&ved=0ahUKEwilhI6m48eSAxUHVEEAHRp9KNwQ61gIGCgQ&usg=AOvVaw3zbajXAZfBs1EM2JqoJ1sq,069 348676366,Mehr als 100 
"https://www.google.com/maps/place/Kyoto+Restaurant/@50.1121904,8.6783573,17z/data=!3m1!4b1!4m6!3m5!1s0x47bd0f3eada3d2f9:0xc8e7cc99efda7f93!8m2!3d50.1121904!4d8.6783573!16s%2Fg%2F11y4q9mxd8?authuser=0&hl=de&entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoASAFQAw%3D%3D",Kyoto Restaurant,"Kleiner Hirschgraben 10, 60311 Frankfurt am Main",4.8 ,379,/url?q=http://www.kyoto-restaurant-frankfurt.de/&opi=79508299&sa=U&ved=0ahUKEwiK_b-o48eSAxWvVkEAHYnFDr8Q61gIFygO&usg=AOvVaw23zS_WNSapL3s2ism-pQqs,069 90758619,20–30 
"https://www.google.com/maps/place/Main+Nizza+Gastronomie/@50.1065,8.6738901,17z/data=!3m1!4b1!4m6!3m5!1s0x47bd0c020ed57fcf:0xd53dc7f7bad786aa!8m2!3d50.1065!4d8.6738901!16s%2Fg%2F1th22xvl?authuser=0&hl=de&entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoASAFQAw%3D%3D",Main Nizza Gastronomie,"Untermainkai 17, 60329 Frankfurt am Main",4.2 ,3376,/url?q=http://mainnizza.de/&opi=79508299&sa=U&ved=0ahUKEwitnJ2r48eSAxWFX0EAHb6EE3EQ61gIEygO&usg=AOvVaw2ilmoak8q1JYQ94PaxwQek,069 26952922,
"https://www.google.com/maps/place/DER+FETTE+BULLE/@50.1077009,8.6664862,17z/data=!3m1!4b1!4m6!3m5!1s0x47bd09555357682b:0x19d6d5e4b9813e63!8m2!3d50.1077009!4d8.6664862!16s%2Fg%2F1pzr3fds_?authuser=0&hl=de&entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoASAFQAw%3D%3D",DER FETTE BULLE,"Kaiserstraße 73, 60329 Frankfurt am Main",4.6 ,7358,/url?q=http://derfettebulle.de/&opi=79508299&sa=U&ved=0ahUKEwiZptCt48eSAxVaVkEAHXGaG-0Q61gIFigO&usg=AOvVaw33tuoJlXi0EzmBzt3k6k2j,069 90757004,20–30 
"https://www.google.com/maps/place/Ariston+Restaurant/@50.1155259,8.6890622,17z/data=!3m1!4b1!4m6!3m5!1s0x47bd0ea357a991e3:0xb9f3066be4eb5f1d!8m2!3d50.1155259!4d8.6890622!16s%2Fg%2F1thvrtfk?authuser=0&hl=de&entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoASAFQAw%3D%3D",Ariston Restaurant,"Heiligkreuzgasse 29, 60313 Frankfurt am Main",4.5 ,2049,/url?q=http://www.ariston-restaurant.de/&opi=79508299&sa=U&ved=0ahUKEwi_04Sw48eSAxXDU0EAHUc2LxQQ61gIEygO&usg=AOvVaw1ocnTsxt4TXib6ht4Fmz_R,069 92039950,
"https://www.google.com/maps/place/Wirtshaus+im+Ostend/@50.1105449,8.7000704,17z/data=!3m1!4b1!4m6!3m5!1s0x47bd0e9950e1068d:0xc1a2441effafa607!8m2!3d50.1105449!4d8.7000704!16s%2Fg%2F1v8kzqqh?authuser=0&hl=de&entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoASAFQAw%3D%3D",Wirtshaus im Ostend,"Rückertstraße 22, 60314 Frankfurt am Main",4.5 ,1876,/url?q=https://wirtshaus-im-ostend.de/&opi=79508299&sa=U&ved=0ahUKEwjIz7Oy48eSAxUnTUEAHT6gG4AQ61gIFygO&usg=AOvVaw3Kznhe3HmFg9jRGmrMJLOC,069 90435800,20–30 
"https://www.google.com/maps/place/Restaurant+Paulaner+am+Dom/@50.110915,8.68613,17z/data=!3m1!4b1!4m6!3m5!1s0x47bd0ea69faf4d63:0x22280cc7cd0ed58!8m2!3d50.110915!4d8.68613!16s%2Fg%2F1hc13gcjp?authuser=0&hl=de&entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoASAFQAw%3D%3D",Restaurant Paulaner am Dom,"Domplatz 6, 60311 Frankfurt am Main",4.3 ,6135,/url?q=https://paulaner-am-dom.de/&opi=79508299&sa=U&ved=0ahUKEwirqOW048eSAxUIXUEAHUsgJzAQ61gIFygO&usg=AOvVaw0QronLpCRlrx25hSMFx8MK,069 20976890,20–30 
"https://www.google.com/maps/place/Main+Tower+Restaurant+%26+Lounge/@50.1122635,8.6721847,17z/data=!3m1!4b1!4m6!3m5!1s0x47bd0eac7a19bf27:0x96f8bd3f5d386645!8m2!3d50.1122635!4d8.6721847!16s%2Fg%2F1hf2x76tj?authuser=0&hl=de&entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoASAFQAw%3D%3D",Main Tower Restaurant & Lounge,"Neue Mainzer Str. 52-58, 60311 Frankfurt am Main",4.6 ,1112,/url?q=http://www.maintower-restaurant.de/&opi=79508299&sa=U&ved=0ahUKEwjUxJS348eSAxUed0EAHSmnDBcQ61gIEigK&usg=AOvVaw1Cxr2Y7ywm_ULJ3RCGYELJ,,Mehr als 100 
"https://www.google.com/maps/place/MyPita/@50.1053377,8.6897548,17z/data=!3m1!4b1!4m6!3m5!1s0x47bd0dea3ae80dd3:0x7badfecfb48f110d!8m2!3d50.1053377!4d8.6897548!16s%2Fg%2F11lg3qy3m9?authuser=0&hl=de&entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoASAFQAw%3D%3D",MyPita,"Kleine Rittergasse 43, 60594 Frankfurt am Main",4.7 ,1121,/url?q=https://www.mypita.de/&opi=79508299&sa=U&ved=0ahUKEwjCmsi548eSAxXjSEEAHdT5KrEQ61gIFigO&usg=AOvVaw10WuBA5MeUBKL62PboufXj,069 60607081,10–20 
"https://www.google.com/maps/place/R%C3%B6mer+Pils+Brunnen/@50.1132851,8.6837177,17z/data=!3m1!4b1!4m6!3m5!1s0x47bd0ea5a460797f:0xe89c73810a41ecc!8m2!3d50.1132851!4d8.6837177!16s%2Fg%2F11xdf2zpx?authuser=0&hl=de&entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoASAFQAw%3D%3D",Römer Pils Brunnen,"Töngesgasse 19, 60311 Frankfurt am Main",4.4 ,358,/url?q=http://roemerpilsbrunnen.de/&opi=79508299&sa=U&ved=0ahUKEwjgnPy748eSAxWpT0EAHVtfJQQQ61gIFygO&usg=AOvVaw0Y2b3fkFIi21sLeIHrSJyL,069 287712,20–30 
